date,population_daily_est
2022-07-11,215353
2022-07-12,215354
2022-07-13,215355
2022-07-14,215356
2022-07-15,215357
2022-07-16,215358
2022-07-17,215360
2022-07-18,215361
2022-07-19,215362
2022-07-20,215363
2022-07-21,215364
2022-07-22,215365
2022-07-23,215366
2022-07-24,215368
2022-07-25,215369
2022-07-26,215370
2022-07-27,215371
2022-07-28,215372
2022-07-29,215373
2022-07-30,215374
2022-07-31,215376
2022-08-01,215377
2022-08-02,215378
2022-08-03,215379
2022-08-04,215380
2022-08-05,215381
2022-08-06,215383
2022-08-07,215384
2022-08-08,215385
2022-08-09,215386
2022-08-10,215387
2022-08-11,215388
2022-08-12,215389
2022-08-13,215391
2022-08-14,215392
2022-08-15,215393
2022-08-16,215394
2022-08-17,215395
2022-08-18,215396
2022-08-19,215397
2022-08-20,215399
2022-08-21,215400
2022-08-22,215401
2022-08-23,215402
2022-08-24,215403
2022-08-25,215404
2022-08-26,215405
2022-08-27,215407
2022-08-28,215408
2022-08-29,215409
2022-08-30,215410
2022-08-31,215411
2022-09-01,215412
2022-09-02,215413
2022-09-03,215415
2022-09-04,215416
2022-09-05,215417
2022-09-06,215418
2022-09-07,215419
2022-09-08,215420
2022-09-09,215421
2022-09-10,215423
2022-09-11,215424
2022-09-12,215425
2022-09-13,215426
2022-09-14,215427
2022-09-15,215428
2022-09-16,215429
2022-09-17,215431
2022-09-18,215432
2022-09-19,215433
2022-09-20,215434
2022-09-21,215435
2022-09-22,215436
2022-09-23,215437
2022-09-24,215439
2022-09-25,215440
2022-09-26,215441
2022-09-27,215442
2022-09-28,215443
2022-09-29,215444
2022-09-30,215445
2022-10-01,215447
2022-10-02,215448
2022-10-03,215449
2022-10-04,215450
2022-10-05,215451
2022-10-06,215452
2022-10-07,215454
2022-10-08,215455
2022-10-09,215456
2022-10-10,215457
2022-10-11,215458
2022-10-12,215459
2022-10-13,215460
2022-10-14,215462
2022-10-15,215463
2022-10-16,215464
2022-10-17,215465
2022-10-18,215466
2022-10-19,215467
2022-10-20,215468
2022-10-21,215470
2022-10-22,215471
2022-10-23,215472
2022-10-24,215473
2022-10-25,215474
2022-10-26,215475
2022-10-27,215476
2022-10-28,215478
2022-10-29,215479
2022-10-30,215480
2022-10-31,215481
2022-11-01,215482
2022-11-02,215483
2022-11-03,215484
2022-11-04,215486
2022-11-05,215487
2022-11-06,215488
2022-11-07,215489
2022-11-08,215490
2022-11-09,215491
2022-11-10,215492
2022-11-11,215494
2022-11-12,215495
2022-11-13,215496
2022-11-14,215497
2022-11-15,215498
2022-11-16,215499
2022-11-17,215500
2022-11-18,215502
2022-11-19,215503
2022-11-20,215504
2022-11-21,215505
2022-11-22,215506
2022-11-23,215507
2022-11-24,215508
2022-11-25,215510
2022-11-26,215511
2022-11-27,215512
2022-11-28,215513
2022-11-29,215514
2022-11-30,215515
2022-12-01,215516
2022-12-02,215518
2022-12-03,215519
2022-12-04,215520
2022-12-05,215521
2022-12-06,215522
2022-12-07,215523
2022-12-08,215525
2022-12-09,215526
2022-12-10,215527
2022-12-11,215528
2022-12-12,215529
2022-12-13,215530
2022-12-14,215531
2022-12-15,215533
2022-12-16,215534
2022-12-17,215535
2022-12-18,215536
2022-12-19,215537
2022-12-20,215538
2022-12-21,215539
2022-12-22,215541
2022-12-23,215542
2022-12-24,215543
2022-12-25,215544
2022-12-26,215545
2022-12-27,215546
2022-12-28,215547
2022-12-29,215549
2022-12-30,215550
2022-12-31,215551
2023-01-01,215552
2023-01-02,215553
2023-01-03,215554
2023-01-04,215555
2023-01-05,215557
2023-01-06,215558
2023-01-07,215559
2023-01-08,215560
2023-01-09,215561
2023-01-10,215562
2023-01-11,215563
2023-01-12,215565
2023-01-13,215566
2023-01-14,215567
2023-01-15,215568
2023-01-16,215569
2023-01-17,215570
2023-01-18,215571
2023-01-19,215573
2023-01-20,215574
2023-01-21,215575
2023-01-22,215576
2023-01-23,215577
2023-01-24,215578
2023-01-25,215579
2023-01-26,215581
2023-01-27,215582
2023-01-28,215583
2023-01-29,215584
2023-01-30,215585
2023-01-31,215586
2023-02-01,215588
2023-02-02,215589
2023-02-03,215590
2023-02-04,215591
2023-02-05,215592
2023-02-06,215593
2023-02-07,215594
2023-02-08,215596
2023-02-09,215597
2023-02-10,215598
2023-02-11,215599
2023-02-12,215600
2023-02-13,215601
2023-02-14,215602
2023-02-15,215604
2023-02-16,215605
2023-02-17,215606
2023-02-18,215607
2023-02-19,215608
2023-02-20,215609
2023-02-21,215610
2023-02-22,215612
2023-02-23,215613
2023-02-24,215614
2023-02-25,215615
2023-02-26,215616
2023-02-27,215617
2023-02-28,215618
2023-03-01,215620
2023-03-02,215621
2023-03-03,215622
2023-03-04,215623
2023-03-05,215624
2023-03-06,215625
2023-03-07,215626
2023-03-08,215628
2023-03-09,215629
2023-03-10,215630
2023-03-11,215631
2023-03-12,215632
2023-03-13,215633
2023-03-14,215634
2023-03-15,215636
2023-03-16,215637
2023-03-17,215638
2023-03-18,215639
2023-03-19,215640
2023-03-20,215641
2023-03-21,215642
2023-03-22,215644
2023-03-23,215645
2023-03-24,215646
2023-03-25,215647
2023-03-26,215648
2023-03-27,215649
2023-03-28,215650
2023-03-29,215652
2023-03-30,215653
2023-03-31,215654
2023-04-01,215655
2023-04-02,215656
2023-04-03,215657
2023-04-04,215659
2023-04-05,215660
2023-04-06,215661
2023-04-07,215662
2023-04-08,215663
2023-04-09,215664
2023-04-10,215665
2023-04-11,215667
2023-04-12,215668
2023-04-13,215669
2023-04-14,215670
2023-04-15,215671
2023-04-16,215672
2023-04-17,215673
2023-04-18,215675
2023-04-19,215676
2023-04-20,215677
2023-04-21,215678
2023-04-22,215679
2023-04-23,215680
2023-04-24,215681
2023-04-25,215683
2023-04-26,215684
2023-04-27,215685
2023-04-28,215686
2023-04-29,215687
2023-04-30,215688
2023-05-01,215689
2023-05-02,215691
2023-05-03,215692
2023-05-04,215693
2023-05-05,215694
2023-05-06,215695
2023-05-07,215696
2023-05-08,215697
2023-05-09,215699
2023-05-10,215700
2023-05-11,215701
2023-05-12,215702
2023-05-13,215703
2023-05-14,215704
2023-05-15,215705
2023-05-16,215707
2023-05-17,215708
2023-05-18,215709
2023-05-19,215710
2023-05-20,215711
2023-05-21,215712
2023-05-22,215713
2023-05-23,215715
2023-05-24,215716
2023-05-25,215717
2023-05-26,215718
2023-05-27,215719
2023-05-28,215720
2023-05-29,215721
2023-05-30,215723
2023-05-31,215724
2023-06-01,215725
2023-06-02,215726
2023-06-03,215727
2023-06-04,215728
2023-06-05,215730
2023-06-06,215731
2023-06-07,215732
2023-06-08,215733
2023-06-09,215734
2023-06-10,215735
2023-06-11,215736
2023-06-12,215738
2023-06-13,215739
2023-06-14,215740
2023-06-15,215741
2023-06-16,215742
2023-06-17,215743
2023-06-18,215744
2023-06-19,215746
2023-06-20,215747
2023-06-21,215748
2023-06-22,215749
2023-06-23,215750
2023-06-24,215751
2023-06-25,215752
2023-06-26,215754
2023-06-27,215755
2023-06-28,215756
2023-06-29,215757
2023-06-30,215758
2023-07-01,215759
2023-07-02,215760
2023-07-03,215762
2023-07-04,215763
2023-07-05,215764
2023-07-06,215765
2023-07-07,215766
2023-07-08,215767
